X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Ahcy,0.154963462,0.047202268,0.031467361,0.0625,0.089003137,0.027776334,0.038473263,0.051296351,0.035896824,0.028755864,0.029360086,0.029873291,0.048361406,0.050590139,0.021050525,0.023195681,0.034915223,0.026278013,0.019572882,0.029462017,0.032352029,0.00728932,0.014033318,0.010525262,0.020263118,0.043284671,0.040107059,0.027489034,0.031576608,0.025737219,0.03103414,0.025295069,0.02311543,0.024013675,0.034794426,0.039418044,0.026923317,0.019572882,0.025916236,0.015679246,0.024433426,0.024097044,0.045752678,0.038141357,0.04017662,0.024180703,0.028805737,0.042614848
Aqp3,0.000198304,0.012735505,0.013139006,0.001873563,0.013048249,0.001161335,0.014680043,0.012048522,0.03742121,0.000862015,0.01551707,0.010635267,0.003773189,0.00350833,0.038207509,0.005524272,0.011202775,0.005486113,0.014229216,0.013093549,0.00728932,0.003129179,0.009194584,0.007758535,0.008519592,0.02005353,0.000286337,0.000112718,0.010858736,0.005336095,0.042688758,0.007572577,0.001671084,0.033492921,0.000993633,0.010709241,0.01147788,0.052012421,0.000917503,0.027680235,0.00875911,0.020545981,0.035648866,0.125651518,0.03735642,0.014731008,0.003245148,0.04442452
Atp12a,0.000198304,0.000165028,0.000101939,0.000107752,0.000130832,0.000121227,0.000177487,9.22E-05,0.000129031,7.16E-05,9.51E-05,0.000168496,0.000162193,0.000102293,4.47E-05,8.87E-05,7.11E-05,8.87E-05,0.000105169,5.71E-05,4.92E-05,4.47E-05,5.68E-05,5.35E-05,4.84E-05,7.67E-05,9.71E-05,0.000112718,7.92E-05,8.28E-05,7.41E-05,6.70E-05,8.66E-05,7.26E-05,9.95E-05,5.04E-05,8.31E-05,9.81E-05,0.000114688,0.000159407,0.000129478,7.23E-05,0.000115086,0.000198648,0.000234602,0.000196934,0.000146938,0.000230571
Bmp4,0.022250784,0.015679246,0.00837323,0.003377099,0.018840747,0.00196671,0.007238969,0.011319861,0.012006837,0.00638986,0.003594483,0.000168496,0.005048253,0.008460743,0.001046654,8.87E-05,0.000613776,0.0008269,0.000105169,5.71E-05,0.000138291,4.47E-05,0.002251341,0.000714886,0.001064949,0.000526967,0.000776891,0.000528796,0.001603011,0.000235824,7.41E-05,0.00253289,0.001648078,0.000288328,9.95E-05,0.000222332,0.001424825,0.000397985,0.00227487,0.007365504,0.003532732,0.000174438,0.00075827,0.000931924,0.000733711,0.002640451,0.003418312,0.000339924
Cdx2,0.000198304,0.002771725,0.004613253,0.004775939,0.003262062,0.010237448,0.005601388,9.22E-05,0.005839255,0.005719085,0.00666121,0.001636694,0.007546378,0.00506578,0.001797242,0.001004017,0.002008035,0.000322145,0.003033082,0.004502681,0.001032244,0.001608576,0.004172131,0.000644291,0.000660113,0.002980975,0.002559362,0.009131072,0.003557304,0.006848482,0.004487103,0.001625388,0.001766366,0.001724029,0.00489322,0.002714684,0.003606962,0.000479893,0.000114688,0.004259796,0.005699298,0.002379708,0.003773189,0.017009682,0.041449543,0.0160087,0.022600523,0.018613588
Creb312,0.005118724,0.00573894,0.022876339,0.052556026,0.032803646,0.092782723,0.065607293,0.009067999,0.018073253,0.033031814,9.51E-05,0.00857885,0.076946526,0.003342168,0.002036066,0.002559362,0.002212664,0.002541683,0.003632051,0.001320225,0.013792234,0.004581387,0.00573894,0.001994164,0.006546774,0.006569503,0.013139006,0.024097044,0.003786288,0.001521806,0.009226505,0.010416396,0.029873291,0.015953314,0.001614161,0.012216713,0.007894152,0.001464882,0.021492841,0.039968299,0.009005362,7.23E-05,0.016176014,0.007798974,0.002140999,0.002586111,0.000146938,0.004479334
Cebpa,0.000198304,0.006193626,0.000101939,0.000107752,0.000130832,0.000580668,0.000177487,9.22E-05,0.000596992,7.16E-05,9.51E-05,0.000168496,0.000162193,0.000102293,0.00587987,8.87E-05,7.11E-05,8.87E-05,0.000105169,5.71E-05,4.92E-05,4.47E-05,5.68E-05,5.35E-05,4.84E-05,0.001532391,9.71E-05,0.000112718,7.92E-05,0.005083367,7.41E-05,0.001987265,8.66E-05,7.26E-05,0.001766366,5.04E-05,8.31E-05,9.81E-05,0.000114688,0.009786441,0.000129478,7.23E-05,0.002212664,0.011067706,0.000234602,0.000196934,0.000146938,0.009404064
Dab2,0.002387969,0.000165028,0.008431471,0.003239529,0.001926236,0.004775939,0.010896435,0.005391865,0.009420374,0.004876291,0.001712121,0.004114692,0.004215735,0.001064949,0.002182201,0.006615198,7.11E-05,8.87E-05,0.003734161,5.71E-05,0.001994164,0.003107564,5.68E-05,5.35E-05,0.001257697,0.00666121,9.71E-05,0.000112718,7.92E-05,0.002228054,0.00289946,0.001754165,0.001537711,0.004215735,9.95E-05,5.04E-05,8.31E-05,9.81E-05,0.000114688,0.001231814,0.001347966,0.000737535,0.000901741,0.001970121,0.000234602,0.002036066,0.000146938,0.001622574
DppaI,0.000198304,0.000165028,0.002939935,0.000107752,0.004549741,0.001873563,0.015843117,9.22E-05,0.002859542,0.001297545,0.000904871,0.003947076,0.004072132,0.000102293,4.47E-05,8.87E-05,7.11E-05,8.87E-05,0.000105169,5.71E-05,4.92E-05,4.47E-05,0.000463546,0.000124635,4.84E-05,7.67E-05,9.71E-05,0.000112718,7.92E-05,8.28E-05,0.000465155,6.70E-05,0.000801505,7.26E-05,9.95E-05,5.04E-05,8.31E-05,9.81E-05,0.000114688,0.000159407,0.001854184,7.23E-05,0.000115086,0.000198648,0.000234602,0.000196934,0.000772863,0.000230571
Eomes,0.008912217,0.004661468,0.003043612,0.000107752,0.011125392,0.000121227,0.001899717,0.003412394,0.005118724,0.002122529,0.002762136,0.000168496,0.002064488,0.000829771,0.003747125,0.001459814,0.000729907,0.002743056,0.00267731,0.004597292,0.001500855,0.000609536,0.002640451,0.000245839,0.000859032,7.67E-05,0.000452436,0.000409173,0.001057593,0.000495097,0.001315658,0.000318813,0.002379708,0.000370048,0.001614161,0.000517914,0.000532474,0.010709241,0.002050228,0.000159407,0.000129478,0.003296155,0.014884969,0.006182903,0.003006915,0.004742949,0.003967649,0.000445434
Esrrb,0.01332242,0.004661468,0.012958118,0.00352051,0.005839255,0.005013382,0.006129563,0.005467132,0.00854917,0.007704943,0.009036626,0.013840117,0.006524124,0.011086901,0.003217152,0.000557014,0.003022588,0.002577164,0.000105169,0.001659541,0.00191293,0.000862015,0.003606962,0.004978752,0.006546774,0.007494251,0.005448217,0.00573894,0.008698606,0.014179987,0.011438169,0.013936383,0.009854511,0.005013382,0.020688889,0.017277041,0.02295576,0.007678286,0.00567958,0.00215963,0.009067999,0.013936383,0.013184622,0.004164907,0.003406486,0.017098339,0.000146938,0.011144688
Fgf4,0.020617311,0.03552553,0.000101939,0.00232267,0.08478777,0.000121227,0.000177487,0.003786288,0.008032139,7.16E-05,0.053289681,0.000168496,0.000162193,0.000102293,0.014082038,0.000862015,0.000605326,0.001712121,0.006236706,0.04591152,0.051832472,0.003400588,0.011719055,0.022561394,0.01020203,0.000956465,9.71E-05,0.000112718,0.003532732,0.020760716,0.000410594,0.001754165,8.66E-05,0.001469968,0.001464882,0.016458766,0.000460344,9.81E-05,0.013048249,0.000159407,0.040526236,0.009387782,0.007314627,0.003301872,0.007429599,0.003619485,0.000211435,0.033319256
Fgfr2,0.001210652,0.000165028,0.005154328,0.004842608,0.000130832,0.069348092,0.049377582,0.004961527,0.010452559,0.022718321,0.000626673,0.008172539,0.038473263,0.0011335,0.008974206,0.000385762,0.018840747,0.005719085,0.003412394,5.71E-05,0.003695538,0.007704943,5.68E-05,0.000553166,0.003161884,0.00182233,0.007651721,0.005467132,0.002791004,8.28E-05,0.002093308,0.007264101,0.029462017,0.000815516,0.003319082,0.000339336,8.31E-05,0.00275258,0.000214015,0.003460029,0.000129478,7.23E-05,0.002668047,0.003575845,0.000234602,0.002228054,0.00586969,0.000230571
Fn1,0.034196678,0.052374196,0.044194174,0.020193013,0.025916236,0.009290681,0.018073253,0.043434944,0.03983002,0.004487103,0.03901033,0.010344445,0.017824433,0.026737345,0.003594483,0.003594483,0.005336095,0.007188966,0.008229383,0.040526236,0.011202775,0.007041019,0.011164017,0.01845301,0.028261856,0.016630784,0.021944451,0.02311543,0.020404059,0.051832472,0.009099481,0.023601134,0.018775563,0.020474897,0.022020637,0.037034149,0.023601134,0.002071656,0.036906021,0.032017401,0.02327621,0.010783729,0.014988502,0.016833745,0.01660199,0.030500993,0.014603925,0.004341773
Gata3,0.020193013,0.036271997,0.022405551,0.03125,0.010896435,0.059539875,0.072795849,0.020688889,0.013139006,0.005719085,0.009618316,0.034794426,0.040949794,0.007839623,0.019640834,0.017701311,0.022097087,0.01159784,0.039418044,0.007520269,0.020905118,0.016862941,0.005900284,0.004157696,0.00951883,0.005118724,0.014278616,0.025120343,0.015356572,0.017098339,0.010525262,0.005280902,0.017039183,0.027016788,0.012473412,0.003296155,0.003075422,0.038606832,0.01175974,0.013093549,0.02311543,0.008060025,0.015788304,0.059231154,0.738413073,0.028066637,0.026876703,0.050853821
Gata4,0.015625,0.000165028,0.022405551,0.010166733,0.008431471,0.61985385,0.147624083,0.000683392,0.000129031,0.074325445,0.003852472,0.012913286,0.166085727,0.000102293,0.004677651,8.87E-05,7.11E-05,0.030606884,0.000105169,5.71E-05,0.018840747,0.003695538,0.006872258,0.007758535,4.84E-05,0.003594483,0.04972103,0.090558885,7.92E-05,8.28E-05,7.41E-05,0.005244424,0.164367845,0.001899717,0.013555292,0.001064949,0.002810417,0.002733566,0.031467361,0.003786288,0.011638105,0.00119813,0.018073253,0.000198648,0.007403894,0.016064279,0.060685683,0.011261166
Gata6,0.136786713,0.091188772,0.125,0.06886907,0.016176014,0.087777805,0.193445624,0.19144475,0.125,0.128514228,0.021492841,0.195467411,0.096722812,0.095722375,0.055552668,0.001619765,0.034196678,0.047366143,0.015040538,0.058112809,0.009162773,0.033492921,0.057711394,0.032128557,0.074583484,0.040949794,0.135841858,0.063592481,0.059333883,0.070316155,0.087777805,0.135371881,0.093752437,0.024688791,0.155501457,0.037034149,0.061001985,0.105476975,0.085377516,0.079384436,0.038075321,0.066292984,0.154963462,0.036842123,0.016544552,0.11907975,0.00898977,0.019203326
Grhl1,0.007391075,0.000165028,0.00464534,0.003879268,0.005562696,0.000488281,0.003773189,0.002733566,0.000129031,0.001352646,0.00401607,0.000168496,0.000162193,0.000102293,0.002182201,8.87E-05,7.11E-05,8.87E-05,0.000105169,0.002129898,4.92E-05,0.000644291,5.68E-05,5.35E-05,4.84E-05,7.67E-05,9.71E-05,0.000112718,7.92E-05,8.28E-05,7.41E-05,0.000847206,8.66E-05,7.26E-05,9.95E-05,5.04E-05,8.31E-05,0.004030012,0.002371474,0.005429368,0.000129478,7.23E-05,0.000115086,0.000198648,0.000234602,0.000196934,0.000146938,0.000230571
Grhl2,0.020193013,0.034078367,0.018840747,0.011841536,0.01845301,0.000121227,0.018840747,0.021123607,0.030819772,0.019505165,0.007340021,0.017762765,0.004944362,0.007016659,0.009355302,0.010598471,0.017824433,0.008490116,0.003708368,0.011086901,0.008088007,0.009820417,0.007572577,0.019505165,0.005505159,0.009162773,0.009957505,0.005900284,0.006024261,0.010525262,0.004677651,0.006684336,0.002791004,0.007442484,0.010934265,0.002100575,0.001959906,0.030081076,0.004978752,0.003682752,0.00800435,0.004996037,0.032917532,0.023642067,0.02001881,0.01573368,0.014106462,0.028805737
Hand1,0.004215735,0.006592311,0.000101939,0.000107752,0.018971795,0.01167851,0.003086099,0.002550507,0.007546378,0.003988329,9.51E-05,0.000168496,0.000162193,0.008229383,0.016515907,0.003239529,7.11E-05,8.87E-05,0.000105169,0.005859527,0.01332242,0.003721242,0.00244661,0.003825861,4.84E-05,0.001371528,0.004842608,0.004534,0.006872258,0.013792234,0.006301889,6.70E-05,8.66E-05,0.00638986,0.002346945,5.04E-05,0.006730829,9.81E-05,0.008850655,0.000159407,0.00431926,0.037812315,0.059746582,0.007745102,0.000234602,0.000196934,0.001673982,0.012625637
Hnf4a,0.042985682,0.001816025,0.006801176,0.003353771,0.039281668,0.00156459,0.000177487,0.01147788,0.025737219,0.000880127,0.005336095,0.004927256,0.005118724,0.00951883,0.012344395,0.010821168,0.006045176,0.000729907,0.007572577,0.005208198,0.019236631,0.005640348,0.002220346,0.002338826,0.001591938,0.002387969,0.000821188,0.000112718,0.007213924,0.000402144,0.001039424,0.014229216,8.66E-05,7.26E-05,0.002991324,0.004996037,8.31E-05,0.005582008,0.005486113,0.007164094,0.000129478,0.014629254,0.049036506,0.018808127,0.041449543,0.000196934,0.015224092,0.024138837
Id2,0.002355093,0.000165028,0.000101939,0.000107752,0.000130832,0.000121227,0.000177487,9.22E-05,0.001193985,0.000431007,9.51E-05,0.006824788,0.000162193,0.000102293,0.000976563,0.000452436,7.11E-05,0.000584706,0.000105169,0.000603232,4.92E-05,0.001193985,0.002330734,0.000886249,0.001302049,7.67E-05,0.000194223,0.000163888,7.92E-05,8.28E-05,7.41E-05,6.70E-05,8.66E-05,7.26E-05,0.000717367,0.000539908,8.31E-05,0.000753033,0.000114688,0.000599065,0.000129478,7.23E-05,0.000115086,0.000198648,0.000783652,0.000196934,0.000146938,0.001304308
Klf2,0.071793647,0.095722375,0.017457612,0.05366034,0.085377516,0.000121227,0.000177487,0.048194088,0.015843117,0.001926236,0.058314562,0.008344261,0.007041019,0.036778336,0.004876291,0.003217152,0.014179987,0.003988329,0.019709022,0.052012421,0.043888902,0.014082038,0.029258508,0.016401823,0.007839623,0.064704058,0.000116289,0.000327776,0.04591152,0.059954007,0.029360086,0.037812315,0.000908013,0.054787858,0.028066637,0.044041274,0.036271997,0.026923317,0.005640348,0.000159407,0.057312753,0.022483337,0.024433426,0.009601663,0.06436856,0.020474897,0.014253895,0.011183379
Klf4,0.20877198,0.097058609,0.150725978,0.164938489,0.146604369,0.002743056,0.007921558,0.056523711,0.087171479,0.031467361,0.116629124,0.112266547,0.027204705,0.010635267,0.020333466,0.010308656,0.025916236,0.017457612,0.041955391,0.027489034,0.030395467,0.012430258,0.064034801,0.032577055,0.029258508,0.064704058,0.052192995,0.000920688,0.09182304,0.213158723,0.062934722,0.102592701,0.004597292,0.024348893,0.100481374,0.072543995,0.128960397,0.016921485,0.028164077,0.014130928,0.148136596,0.045594386,0.091188772,0.102415075,0.096555349,0.061426287,0.051207538,0.037616254
Klf5,0.010380358,0.007164094,0.006215129,0.004742949,0.008431471,0.009162773,0.016862941,0.003892735,0.006801176,0.005410584,0.003619485,0.012824088,0.012090352,0.004996037,0.003150944,0.010096506,0.004304317,0.005083367,0.006323767,0.00489322,0.007546378,0.0078125,0.003319082,0.003217152,0.012301687,0.002859542,0.005486113,0.004859421,0.00267731,0.003594483,0.003330605,0.006920059,0.005391865,0.001847769,0.004927256,0.005778857,0.009322935,0.007365504,0.001161335,0.006872258,0.005172222,0.000507255,0.007391075,0.027063646,0.008534368,0.010026765,0.00363835,0.008475417
Krt8,0.024860515,0.007114608,0.030819772,0.025207555,0.03901033,0.033261568,0.006129563,0.018645871,0.019777447,0.032128557,0.044501569,0.07007288,0.033261568,0.026369244,0.025559439,0.061213769,0.019236631,0.077481731,0.048194088,0.040526236,0.016862941,0.053289681,0.03179624,0.102237757,0.044041274,0.028557233,0.000880127,0.010061575,0.026187098,0.013230396,0.018198962,0.004961527,0.02295576,0.005486113,0.010709241,0.040526236,0.016921485,0.006730829,0.027204705,0.073048578,0.021567459,0.012735505,0.028066637,0.082899086,0.031304199,0.000196934,0.009306794,0.069709544
Lcp1,0.003400588,0.02600621,0.019777447,0.014082038,0.015197734,0.008144264,0.008200912,0.024946825,0.040107059,0.001665303,0.030395467,0.010561803,0.009957505,0.005819053,0.006345722,0.003284752,0.007758535,0.01074642,0.001284124,0.000532474,0.001619765,0.000755647,0.004825854,0.008789519,0.004693891,0.021196943,0.001784827,0.000463546,0.005172222,0.011841536,0.029977004,0.019303416,0.013368672,0.006707542,0.001454763,0.016345077,0.03552553,0.003812624,0.02335702,0.044966674,0.034554083,0.003760135,0.010635267,0.015171421,0.000991912,0.007839623,0.004237708,0.008215135
Mbnl3,0.000198304,0.000165028,0.000101939,0.000333506,0.000130832,0.000121227,0.000177487,9.22E-05,0.000129031,7.16E-05,9.51E-05,0.000168496,0.000162193,0.000102293,0.000125502,0.000188912,7.11E-05,8.87E-05,0.000105169,0.000795969,4.92E-05,4.47E-05,6.21E-05,0.000458751,4.84E-05,0.000512557,9.71E-05,0.000112718,7.92E-05,8.28E-05,7.41E-05,6.70E-05,8.66E-05,0.000662404,9.95E-05,5.04E-05,8.31E-05,9.81E-05,0.000114688,0.000159407,0.000129478,8.72E-05,0.000115086,0.000198648,0.001336337,0.000196934,0.000146938,0.000230571
Msc,0.002455104,0.006280086,0.002093308,0.000107752,0.000930311,0.012430258,0.000177487,0.006777646,0.008668512,0.00393342,0.001011001,0.006280086,0.005839255,0.003273387,0.004186615,0.003960779,7.11E-05,0.001835005,0.001791024,5.71E-05,0.000622344,0.000471649,5.68E-05,0.002960384,0.000768855,7.67E-05,9.71E-05,0.005244424,0.003388823,0.036651092,7.41E-05,0.009854511,0.002314634,7.26E-05,0.001014511,5.04E-05,0.00431926,9.81E-05,0.00666121,0.011882647,0.004597292,7.23E-05,0.007041019,0.000198648,0.010184366,0.000196934,0.00017718,0.001691478
Msx2,0.000198304,0.000165028,0.000101939,0.00198039,0.003172861,0.00666121,0.000177487,0.002412927,0.000129031,7.16E-05,0.000631032,0.002463628,0.000162193,0.005208198,4.47E-05,0.002980975,0.001642376,0.000740096,0.000105169,5.71E-05,0.00537321,4.47E-05,0.006546774,0.000700173,0.002282768,0.002980975,0.004044004,0.001742048,0.000768855,8.28E-05,7.41E-05,6.70E-05,0.002129898,0.010821168,9.95E-05,5.04E-05,0.002889429,0.001385863,0.000114688,0.005859527,0.000129478,0.000507255,0.000815516,0.000198648,0.000234602,0.003496192,0.001179589,0.000230571
Nanog,0.285190929,0.24400794,0.049036506,0.135841858,0.234880687,0.009888723,0.009888723,0.129857388,0.055552668,0.009888723,0.112656308,0.012301687,0.066523136,0.041955391,0.067920929,0.025559439,0.118257206,0.045122787,0.023930594,0.087474117,0.10153155,0.066523136,0.044966674,0.03794359,0.048194088,0.10881882,0.007921558,0.013555292,0.190122344,0.159320078,0.056719947,0.106210625,0.001141384,0.066523136,0.007314627,0.120324305,0.079384436,0.002714684,0.015092755,0.006323767,0.027299153,0.062716984,0.217637641,0.029411007,0.060685683,0.015250496,0.018613588,0.081474929
Pdgfa,0.027969533,0.003865846,0.006896117,0.033492921,0.00854917,0.035158078,0.03742121,0.012735505,0.026096497,0.001926236,0.021344379,0.022020637,0.010237448,0.005699298,0.060371021,0.042688758,0.008912217,0.085377516,0.025120343,0.081616237,0.067920929,0.09944206,0.087474117,0.096054699,0.062716984,0.005524272,0.025559439,0.010131559,0.028458432,0.041521432,0.021344379,0.021868529,0.044041274,0.0119239,0.005699298,0.00800435,0.046876218,0.048194088,0.127626516,0.008460743,0.066754088,0.054978067,0.027299153,0.05507342,0.078972819,0.008943158,0.031304199,0.017979541
Pdgfra,0.10732068,0.029873291,0.150725978,0.035158078,0.00638986,0.157126672,0.139660892,0.026187098,0.048697786,0.086569342,0.002489376,0.194117219,0.198884121,0.124567533,0.026278013,0.008144264,0.050765775,0.022718321,0.019437682,0.012048522,0.048697786,0.012174447,0.007625248,0.002387969,0.028458432,0.069830446,0.119908015,0.127184962,0.068630801,0.047366143,0.035648866,0.028066637,0.112266547,0.01551707,0.076680311,0.019846109,0.026737345,0.006367753,0.081333866,0.12200397,0.032464347,0.042836963,0.027584469,0.012625637,0.025871365,0.065607293,0.058213598,0.021530117
Pecam1,0.052192995,0.013649576,0.012259127,0.036397925,0.045436641,0.025737219,0.050765775,0.040246301,0.020474897,0.019103754,0.017098339,0.093752437,0.027776334,0.019709022,0.002859542,0.006129563,0.008200912,0.015197734,0.001718065,0.040246301,0.008912217,0.007139308,0.025120343,0.031467361,0.036271997,0.022718321,0.007704943,0.013744517,0.031141883,0.053289681,0.025559439,0.012913286,0.005982648,0.030606884,0.020404059,0.030926771,0.025295069,0.03577263,0.027776334,0.022328033,0.011638105,0.012048522,0.043888902,0.023724147,0.077885577,0.039145764,0.027157604,0.02982157
Pou5f1,0.217637641,0.179866698,0.151774361,0.149684838,0.157126672,0.10881882,0.138696184,0.069588851,0.060790934,0.040666933,0.042985682,0.078291527,0.089622203,0.056916865,0.023195681,0.021492841,0.025382887,0.033960464,0.034794426,0.037812315,0.03103414,0.021642335,0.018645871,0.018840747,0.021270533,0.088388348,0.078563336,0.075624631,0.112266547,0.118257206,0.043284671,0.072543995,0.081616237,0.056719947,0.063153215,0.086869889,0.058517015,0.072543995,0.115023456,0.020688889,0.051296351,0.037812315,0.24570515,0.092943643,0.180178653,0.14014576,0.094241088,0.076547549
Runx1,0.00319493,0.000165028,0.00837323,0.00086801,0.000130832,0.044811102,0.03983002,9.22E-05,0.001631031,0.007442484,9.51E-05,0.000168496,0.004456108,0.000102293,4.47E-05,8.87E-05,7.11E-05,8.87E-05,0.000105169,5.71E-05,0.003172861,0.002506691,5.68E-05,5.35E-05,4.84E-05,7.67E-05,0.013792234,0.011010318,7.92E-05,8.28E-05,7.41E-05,6.70E-05,0.002220346,7.26E-05,9.95E-05,5.04E-05,8.31E-05,0.001614161,0.000114688,0.000159407,0.000129478,7.23E-05,0.001169413,0.000198648,0.000234602,0.000196934,0.000146938,0.000230571
Sox2,0.312082637,0.227667458,0.189464571,0.06886907,0.168404197,0.008315392,0.032803646,0.094404537,0.06886907,0.030606884,0.193445624,0.118667765,0.064257114,0.132585968,0.059128603,0.063813258,0.058720172,0.049377582,0.030081076,0.075624631,0.056328154,0.011841536,0.088082547,0.043284671,0.090558885,0.114228931,9.71E-05,0.015040538,0.146097156,0.098073012,0.003150944,0.134436799,0.022173802,0.093428078,0.004349303,0.165511114,0.200962748,0.079936599,0.003217152,0.004996037,0.311002913,0.082755557,0.259714776,0.200614807,0.090715947,0.143587294,0.042320486,0.153626606
Sall4,0.128514228,0.12200397,0.090873282,0.127626516,0.066063628,0.176776695,0.094732285,0.101884042,0.059954007,0.10438599,0.062068281,0.06768594,0.216134308,0.053105312,0.058314562,0.033725882,0.051118879,0.062068281,0.028855697,0.07007288,0.068393356,0.040107059,0.044966674,0.051832472,0.039145764,0.051118879,0.071297732,0.112266547,0.02600621,0.024688791,0.047038961,0.049549009,0.142102122,0.031467361,0.063592481,0.045279442,0.030713144,0.037034149,0.042101049,0.038606832,0.019303416,0.060580614,0.124136562,0.055264621,0.034019364,0.027204705,0.036970029,0.043812915
Sox17,0.019640834,0.00215963,0.031906629,0.000815516,0.010598471,0.10083022,0.018840747,0.018135999,0.034915223,0.070805243,0.00196671,0.022797193,0.025737219,0.008943158,0.001439716,0.002472181,0.023683071,0.001724029,0.013368672,0.001495662,0.003960779,0.012174447,0.000835542,0.000734984,0.010344445,0.011438169,0.040949794,0.082755557,0.002282768,0.002455104,0.00786684,0.003632051,0.053474689,0.001748096,0.005778857,0.002586111,0.005429368,0.00535462,0.010380358,0.060580614,0.006684336,0.006872258,0.003118353,0.008158389,0.002170886,0.008698606,0.010362386,0.005533853
Snail,0.048027349,0.000165028,0.020333466,0.066985841,0.050066867,0.081899588,0.020474897,0.04591152,0.03794359,0.076415017,0.002980975,0.032690154,0.094077922,0.017762765,0.011438169,0.031906629,0.051474439,0.026278013,0.006592311,0.015570942,0.024688791,0.013602353,0.00794906,0.006087223,0.012647535,7.67E-05,0.032128557,0.00242971,7.92E-05,0.004245058,0.002050228,0.022797193,0.026552656,0.001772498,0.003012131,0.020832792,8.31E-05,0.017039183,0.029157281,0.075624631,0.000129478,0.017039183,0.005620834,0.019538994,0.00451049,0.003594483,0.000146938,0.000922285
Sox13,0.011125392,0.000165028,0.000101939,0.005758864,0.029157281,0.010598471,0.000177487,9.22E-05,0.022097087,0.013984767,0.010525262,0.000168496,0.000162193,0.003296155,0.017098339,0.003594483,0.003773189,0.005262631,0.00431926,0.004349303,0.007442484,0.001784827,0.001591938,0.007188966,4.84E-05,7.67E-05,0.001068646,0.000112718,0.005699298,8.28E-05,0.005190179,6.70E-05,0.002498019,7.26E-05,9.95E-05,0.002001088,8.31E-05,0.00215963,0.003217152,0.000159407,0.000129478,0.001730015,0.014936646,0.000198648,0.000234602,0.000196934,0.000146938,0.000230571
Tcfap2a,0.007188966,0.009322935,0.000101939,0.000107752,0.004581387,0.000121227,0.000177487,9.22E-05,0.000129031,7.16E-05,9.51E-05,0.000168496,0.000162193,0.000102293,4.47E-05,8.87E-05,7.11E-05,8.87E-05,0.007314627,0.00137629,0.002338826,0.001772498,5.68E-05,5.35E-05,4.84E-05,7.67E-05,0.003377099,0.000112718,0.001906312,0.000969817,7.41E-05,0.003250776,8.66E-05,7.26E-05,9.95E-05,0.003657313,0.005101015,0.001718065,0.000114688,0.000159407,0.000129478,0.003075422,0.004334256,0.015980983,0.019404028,0.012560172,0.011418366,0.025076851
Tcfap2c,0.080772052,0.097733705,0.051474439,0.059539875,0.059954007,0.058314562,0.04358574,0.051296351,0.076946526,0.042393885,0.038207509,0.144085793,0.054033577,0.048529305,0.033031814,0.036651092,0.033031814,0.031906629,0.037812315,0.03503644,0.048361406,0.027016788,0.020688889,0.019103754,0.021567459,0.070805243,0.066063628,0.060162153,0.033146492,0.063372467,0.077481731,0.056523711,0.038875364,0.075362989,0.061001985,0.082183923,0.054598306,0.066292984,0.072293011,0.121161227,0.079936599,0.181117769,0.122427537,0.057811487,0.069468367,0.051118879,0.041020816,0.03853999
Tcf23,0.009888723,0.001973538,0.013888167,0.004157696,0.004274585,0.009226505,0.010896435,0.014833471,0.012090352,0.011202775,0.000969817,0.005543451,0.032128557,0.02311543,0.005839255,8.87E-05,0.009618316,0.004157696,0.002498019,0.005208198,0.000832651,0.00085606,0.001434735,0.002577164,0.001485331,0.006524124,0.006003419,0.000112718,0.000959786,0.003001709,0.002939935,0.004825854,0.013744517,0.004710187,0.008943158,0.02295576,8.31E-05,0.002174652,0.01277972,0.011241669,0.003365415,0.007065464,0.024348893,0.016833745,0.003245148,0.011438169,0.011144688,0.023972098
Utf1,0.10083022,0.043737058,0.030395467,0.049036506,0.095391201,0.015625,0.052556026,0.044041274,0.069830446,0.01074642,0.040386026,0.040246301,0.038740866,0.058112809,0.013888167,0.013984767,0.01573368,0.059954007,0.024946825,0.048866853,0.020617311,0.022561394,0.039692218,0.02664484,0.01751822,0.037162722,0.022718321,0.044966674,0.042541066,0.035158078,0.009618316,0.028261856,0.012473412,0.03103414,0.017886315,0.073556671,0.037551127,0.001548407,0.090245575,0.025648175,0.043434944,0.019303416,0.012048522,0.014859197,0.020368732,0.007340021,0.024306736,0.01867821
Tspan8,0.008974206,0.000165028,0.001521806,0.000107752,0.000130832,0.000121227,0.001748096,0.000255392,0.00289946,7.16E-05,0.001091101,0.000168496,0.000601145,0.000102293,4.47E-05,0.000165601,7.11E-05,0.000383098,0.000669328,0.000920688,4.92E-05,4.47E-05,0.000170848,0.000422137,4.84E-05,7.67E-05,9.71E-05,0.000812694,7.92E-05,8.28E-05,7.41E-05,6.70E-05,8.66E-05,7.26E-05,9.95E-05,5.04E-05,8.31E-05,9.81E-05,0.000114688,0.000307953,0.000129478,7.23E-05,0.000624505,0.001208556,0.000234602,0.002577164,0.000146938,0.000230571
